Área;Año;Sustancia;Casos;Tasa_ajustada
Antonio Nariño;2014;Plaguicidas;15;18,22
Puente Aranda;2014;Plaguicidas;23;9,54
Candelaria;2014;Plaguicidas;2;11,43
Rafael Uribe Uribe;2014;Plaguicidas;28;7,75
Ciudad Bolívar;2014;Plaguicidas;89;14,83
Sumapaz;2014;Plaguicidas;0;0
Distrito;2014;Plaguicidas;602;8,3
Usaquén;2014;Solventes;7;1,36
Chapinero;2014;Solventes;3;1,99
Santa Fe;2014;Solventes;3;2,94
San Cristóbal;2014;Solventes;5;1,31
Usme;2014;Solventes;10;2,85
Tunjuelito;2014;Solventes;1;0,59
Bosa;2014;Solventes;14;2,11
Kennedy;2014;Solventes;16;1,6
Fontibón;2014;Solventes;4;1,13
Engativá;2014;Solventes;17;2,17
Suba;2014;Solventes;17;1,53
Barrios Unidos;2014;Solventes;3;2,12
Teusaquillo;2014;Solventes;2;1,41
Los Mártires;2014;Solventes;5;6,69
Antonio Nariño;2014;Solventes;1;1,21
Puente Aranda;2014;Solventes;6;2,49
Candelaria;2014;Solventes;2;11,43
Rafael Uribe Uribe;2014;Solventes;8;2,21
Ciudad Bolívar;2014;Solventes;14;2,33
Sumapaz;2014;Solventes;0;0
Distrito;2014;Solventes;138;1,9
Usaquén;2014;Metales pesados;1;0,19
Chapinero;2014;Metales pesados;0;0
Santa Fe;2014;Metales pesados;0;0
San Cristóbal;2014;Metales pesados;1;0,26
Usme;2014;Metales pesados;0;0
Tunjuelito;2014;Metales pesados;0;0
Bosa;2014;Metales pesados;3;0,45
Kennedy;2014;Metales pesados;4;0,4
Fontibón;2014;Metales pesados;2;0,56
Engativá;2014;Metales pesados;4;0,51
Suba;2014;Metales pesados;5;0,45
Barrios Unidos;2014;Metales pesados;1;0,71
Teusaquillo;2014;Metales pesados;0;0
Los Mártires;2014;Metales pesados;0;0
Antonio Nariño;2014;Metales pesados;1;1,21
Puente Aranda;2014;Metales pesados;3;1,24
Candelaria;2014;Metales pesados;0;0
Rafael Uribe Uribe;2014;Metales pesados;0;0
Ciudad Bolívar;2014;Metales pesados;0;0
Sumapaz;2014;Metales pesados;0;0
Distrito;2014;Metales pesados;25;0,34
Usaquén;2014;Gases;15;2,9
Chapinero;2014;Gases;8;5,3
Santa Fe;2014;Gases;7;6,87
San Cristóbal;2014;Gases;52;13,57
Usme;2014;Gases;15;4,27
Tunjuelito;2014;Gases;3;1,76
Bosa;2014;Gases;9;1,35
Kennedy;2014;Gases;19;1,9
Fontibón;2014;Gases;11;3,11
Engativá;2014;Gases;24;3,06
Suba;2014;Gases;21;1,89
Barrios Unidos;2014;Gases;4;2,83
Teusaquillo;2014;Gases;7;4,93
Los Mártires;2014;Gases;5;6,69
Antonio Nariño;2014;Gases;1;1,21
Puente Aranda;2014;Gases;14;5,81
Candelaria;2014;Gases;1;5,72
Rafael Uribe Uribe;2014;Gases;5;1,38
Ciudad Bolívar;2014;Gases;13;2,17
Sumapaz;2014;Gases;0;0
Distrito;2014;Gases;234;3,23
Usaquén;2014;Metanol;6;1,16
Chapinero;2014;Metanol;0;0
Santa Fe;2014;Metanol;0;0
San Cristóbal;2014;Metanol;37;9,66
Usme;2014;Metanol;5;1,42
Tunjuelito;2014;Metanol;0;0
Bosa;2014;Metanol;1;0,15
Kennedy;2014;Metanol;0;0
Fontibón;2014;Metanol;0;0
Engativá;2014;Metanol;0;0
Suba;2014;Metanol;1;0,09
Barrios Unidos;2014;Metanol;2;1,41
Teusaquillo;2014;Metanol;0;0
Los Mártires;2014;Metanol;0;0
Antonio Nariño;2014;Metanol;0;0
Puente Aranda;2014;Metanol;0;0
Candelaria;2014;Metanol;0;0
Rafael Uribe Uribe;2014;Metanol;0;0
Ciudad Bolívar;2014;Metanol;4;0,67
Sumapaz;2014;Metanol;0;0
Distrito;2014;Metanol;56;0,77
Usaquén;2014;Todas las sustancias;526;101,84
Chapinero;2014;Todas las sustancias;445;295,06
Santa Fe;2014;Todas las sustancias;183;179,54
San Cristóbal;2014;Todas las sustancias;365;95,28
Usme;2014;Todas las sustancias;329;93,67
Tunjuelito;2014;Todas las sustancias;128;74,91
Bosa;2014;Todas las sustancias;347;52,2
Kennedy;2014;Todas las sustancias;25;2,5
Fontibón;2014;Todas las sustancias;642;181,31
Engativá;2014;Todas las sustancias;384;48,98
Suba;2014;Todas las sustancias;802;72,11
Barrios Unidos;2014;Todas las sustancias;180;127,2
Teusaquillo;2014;Todas las sustancias;175;123,21
Los Mártires;2014;Todas las sustancias;110;147,09
Antonio Nariño;2014;Todas las sustancias;99;120,22
Puente Aranda;2014;Todas las sustancias;198;82,11
Candelaria;2014;Todas las sustancias;177;1011,78
Rafael Uribe Uribe;2014;Todas las sustancias;278;76,91
Ciudad Bolívar;2014;Todas las sustancias;632;105,29
Sumapaz;2014;Todas las sustancias;2;60,64
Distrito;2014;Todas las sustancias;6.027;83,1
Usaquén;2015;Medicamentos;140;26,9
Chapinero;2015;Medicamentos;70;46,05
Santa Fe;2015;Medicamentos;35;34,26
San Cristóbal;2015;Medicamentos;96;25,11
Usme;2015;Medicamentos;92;26,02
Tunjuelito;2015;Medicamentos;54;31,69
Bosa;2015;Medicamentos;206;30,68
Kennedy;2015;Medicamentos;381;38,04
Fontibón;2015;Medicamentos;178;49,95
Engativá;2015;Medicamentos;261;33,31
Suba;2015;Medicamentos;297;26,51
Barrios Unidos;2015;Medicamentos;55;39,78
Teusaquillo;2015;Medicamentos;58;40,77
Los Mártires;2015;Medicamentos;52;70,28
Antonio Nariño;2015;Medicamentos;48;59,25
Puente Aranda;2015;Medicamentos;87;36,15
Candelaria;2015;Medicamentos;13;75,19
Rafael Uribe Uribe;2015;Medicamentos;110;30,48
Ciudad Bolívar;2015;Medicamentos;192;31,91
Sumapaz;2015;Medicamentos;1;31,02
Distrito;2015;Medicamentos;2.426;33,36
Usaquén;2015;Psicoactivas;215;41,31
Chapinero;2015;Psicoactivas;54;35,53
Santa Fe;2015;Psicoactivas;38;37,2
San Cristóbal;2015;Psicoactivas;81;21,19
Usme;2015;Psicoactivas;53;14,99
Tunjuelito;2015;Psicoactivas;19;11,15
Bosa;2015;Psicoactivas;79;11,77
Kennedy;2015;Psicoactivas;126;12,58
Fontibón;2015;Psicoactivas;86;24,13
Engativá;2015;Psicoactivas;210;26,81
Suba;2015;Psicoactivas;323;28,83
Barrios Unidos;2015;Psicoactivas;50;36,17
Teusaquillo;2015;Psicoactivas;68;47,8
Los Mártires;2015;Psicoactivas;42;56,77
Antonio Nariño;2015;Psicoactivas;36;44,44
Puente Aranda;2015;Psicoactivas;38;15,79
Candelaria;2015;Psicoactivas;11;63,62
Rafael Uribe Uribe;2015;Psicoactivas;46;12,75
Ciudad Bolívar;2015;Psicoactivas;74;12,3
Sumapaz;2015;Psicoactivas;0;0
Distrito;2015;Psicoactivas;1.649;22,67
Usaquén;2015;Otras sustancias químicas;33;6,34
Chapinero;2015;Otras sustancias químicas;15;9,87
Santa Fe;2015;Otras sustancias químicas;16;15,66
San Cristóbal;2015;Otras sustancias químicas;42;10,99
Usme;2015;Otras sustancias químicas;34;9,62
Tunjuelito;2015;Otras sustancias químicas;32;18,78
Bosa;2015;Otras sustancias químicas;53;7,89
Kennedy;2015;Otras sustancias químicas;74;7,39
Fontibón;2015;Otras sustancias químicas;52;14,59
Engativá;2015;Otras sustancias químicas;68;8,68
Suba;2015;Otras sustancias químicas;73;6,52
Barrios Unidos;2015;Otras sustancias químicas;16;11,57
Teusaquillo;2015;Otras sustancias químicas;14;9,84
Los Mártires;2015;Otras sustancias químicas;25;33,79
Antonio Nariño;2015;Otras sustancias químicas;14;17,28
Puente Aranda;2015;Otras sustancias químicas;20;8,31
Candelaria;2015;Otras sustancias químicas;2;11,57
Rafael Uribe Uribe;2015;Otras sustancias químicas;37;10,25
Ciudad Bolívar;2015;Otras sustancias químicas;59;9,81
Sumapaz;2015;Otras sustancias químicas;1;31,02
Distrito;2015;Otras sustancias químicas;680;9,35
Usaquén;2015;Plaguicidas;7;1,34
Chapinero;2015;Plaguicidas;8;5,26
Santa Fe;2015;Plaguicidas;10;9,79
San Cristóbal;2015;Plaguicidas;26;6,8
Usme;2015;Plaguicidas;55;15,56
Tunjuelito;2015;Plaguicidas;8;4,7
Bosa;2015;Plaguicidas;66;9,83
Kennedy;2015;Plaguicidas;67;6,69
Fontibón;2015;Plaguicidas;24;6,73
Engativá;2015;Plaguicidas;41;5,23
Suba;2015;Plaguicidas;37;3,3
Barrios Unidos;2015;Plaguicidas;6;4,34
Teusaquillo;2015;Plaguicidas;5;3,52
Los Mártires;2015;Plaguicidas;6;8,11
Antonio Nariño;2015;Plaguicidas;10;12,34
Puente Aranda;2015;Plaguicidas;13;5,4
Candelaria;2015;Plaguicidas;1;5,78
Rafael Uribe Uribe;2015;Plaguicidas;30;8,31
Ciudad Bolívar;2015;Plaguicidas;61;10,14
Sumapaz;2015;Plaguicidas;3;93,05
Distrito;2015;Plaguicidas;484;6,65
Usaquén;2015;Solventes;2;0,38
Chapinero;2015;Solventes;5;3,29
Santa Fe;2015;Solventes;1;0,98
San Cristóbal;2015;Solventes;14;3,66
Usme;2015;Solventes;8;2,26
Tunjuelito;2015;Solventes;6;3,52
Bosa;2015;Solventes;18;2,68
Kennedy;2015;Solventes;22;2,2
Fontibón;2015;Solventes;9;2,53
Engativá;2015;Solventes;19;2,43
Suba;2015;Solventes;11;0,98
Barrios Unidos;2015;Solventes;2;1,45
Teusaquillo;2015;Solventes;3;2,11
Los Mártires;2015;Solventes;0;0
Antonio Nariño;2015;Solventes;3;3,7
Puente Aranda;2015;Solventes;7;2,91
Candelaria;2015;Solventes;1;5,78
Rafael Uribe Uribe;2015;Solventes;5;1,39
Ciudad Bolívar;2015;Solventes;14;2,33
Sumapaz;2015;Solventes;0;0
Distrito;2015;Solventes;150;2,06
Usaquén;2015;Metales pesados;1;0,19
Chapinero;2015;Metales pesados;0;0
Santa Fe;2015;Metales pesados;0;0
San Cristóbal;2015;Metales pesados;1;0,26
Usme;2015;Metales pesados;0;0
Tunjuelito;2015;Metales pesados;0;0
Bosa;2015;Metales pesados;4;0,6
Kennedy;2015;Metales pesados;3;0,3
Fontibón;2015;Metales pesados;5;1,4
Engativá;2015;Metales pesados;7;0,89
Suba;2015;Metales pesados;5;0,45
Barrios Unidos;2015;Metales pesados;2;1,45
Teusaquillo;2015;Metales pesados;2;1,41
Los Mártires;2015;Metales pesados;2;2,7
Antonio Nariño;2015;Metales pesados;2;2,47
Puente Aranda;2015;Metales pesados;0;0
Candelaria;2015;Metales pesados;0;0
Rafael Uribe Uribe;2015;Metales pesados;1;0,28
Ciudad Bolívar;2015;Metales pesados;1;0,17
Sumapaz;2015;Metales pesados;0;0
Distrito;2015;Metales pesados;36;0,49
Usaquén;2015;Gases;13;2,5
Chapinero;2015;Gases;15;9,87
Santa Fe;2015;Gases;9;8,81
San Cristóbal;2015;Gases;10;2,62
Usme;2015;Gases;7;1,98
Tunjuelito;2015;Gases;1;0,59
Bosa;2015;Gases;10;1,49
Kennedy;2015;Gases;22;2,2
Fontibón;2015;Gases;12;3,37
Engativá;2015;Gases;19;2,43
Suba;2015;Gases;48;4,28
Barrios Unidos;2015;Gases;7;5,06
Teusaquillo;2015;Gases;3;2,11
Los Mártires;2015;Gases;20;27,03
Antonio Nariño;2015;Gases;3;3,7
Puente Aranda;2015;Gases;10;4,15
Candelaria;2015;Gases;1;5,78
Rafael Uribe Uribe;2015;Gases;5;1,39
Ciudad Bolívar;2015;Gases;11;1,83
Sumapaz;2015;Gases;0;0
Distrito;2015;Gases;226;3,11
Usaquén;2015;Metanol;2;0,38
Chapinero;2015;Metanol;2;1,32
Santa Fe;2015;Metanol;1;0,98
San Cristóbal;2015;Metanol;0;0
